-1889.99	-69865.9
-1889.75	-31747.1
-1889.52	-3556.8
-1889.28	58203.4
-1889.05	92668.7
-1888.82	101926
-1888.58	73864.7
-1888.35	24959.5
-1888.11	-13467.5
-1887.88	-24012.6
-1887.65	-15847
-1887.41	-9632.53
-1887.18	-13976.9
-1886.94	-19564.1
-1886.71	-14272.5
-1886.48	1248.95
-1886.24	15532.9
-1886.01	20530.3
-1885.77	18606.7
-1885.54	14103.7
-1885.31	2501.48
-1885.07	-26098.1
-1884.84	-71054.2
-1884.6	-112244
-1884.37	-121541
-1884.14	-85164.7
-1883.9	-14710.4
-1883.67	62701.9
-1883.43	122471
-1883.2	150631
-1882.97	140127
-1882.73	88896.5
-1882.5	7663.38
-1882.26	-73722.8
-1882.03	-118029
-1881.8	-107665
-1881.56	-61503.7
-1881.33	-20126.3
-1881.09	-9711.28
-1880.86	-19848.2
-1880.63	-18658.5
-1880.39	10381.2
-1880.16	49227.2
-1879.92	64054.8
-1879.69	41003.2
-1879.46	-72.0781
-1879.22	-27333.2
-1878.99	-28241.6
-1878.75	-15985.3
-1878.52	-7653.09
-1878.29	-3721.05
-1878.05	5781.02
-1877.82	18543.3
-1877.58	13590.9
-1877.35	-25188
-1877.12	-81476.1
-1876.88	-111604
-1876.65	-84227.3
-1876.41	-14317
-1876.18	47732.2
-1875.95	63691
-1875.71	41921.9
-1875.48	21834.1
-1875.24	27128.8
-1875.01	42135.7
-1874.78	38649.6
-1874.54	20302.3
-1874.31	27590.9
-1874.07	90409.4
-1873.84	179255
-1873.61	216260
-1873.37	145551
-1873.14	-5997.13
-1872.9	-143976
-1872.67	-187815
-1872.44	-138459
-1872.2	-65432.1
-1871.97	-30518.4
-1871.73	-30577.6
-1871.5	-17837.9
-1871.26	30624.1
-1871.03	76185.7
-1870.8	58459.5
-1870.56	-32000.3
-1870.33	-130554
-1870.09	-154512
-1869.86	-81605.2
-1869.63	30440.2
-1869.39	101213
-1869.16	99336.6
-1868.92	56304.9
-1868.69	17985.3
-1868.46	-4127.19
-1868.22	-28317.3
-1867.99	-59971.8
-1867.75	-71702.4
-1867.52	-35869
-1867.29	30190.9
-1867.05	67860.7
-1866.82	35950
-1866.58	-39099
-1866.35	-83809.7
-1866.12	-54224.8
-1865.88	13847.6
-1865.65	40384.7
-1865.41	-11399.2
-1865.18	-90592.3
-1864.95	-109028
-1864.71	-35097.9
-1864.48	70410.6
-1864.24	116586
-1864.01	76091.2
-1863.78	9284.55
-1863.54	-5506.7
-1863.31	42974.8
-1863.07	91890.7
-1862.84	79741.6
-1862.61	16729
-1862.37	-29399.3
-1862.14	-13857.1
-1861.9	32082.7
-1861.67	36968.8
-1861.44	-26898
-1861.2	-107852
-1860.97	-129074
-1860.73	-71862.2
-1860.5	5711.16
-1860.27	34745.9
-1860.03	10300.2
-1859.8	-9420.21
-1859.56	23459.7
-1859.33	86179.9
-1859.1	108019
-1858.86	50354.1
-1858.63	-46609.9
-1858.39	-102521
-1858.16	-76726.1
-1857.93	-1706.21
-1857.69	60864
-1857.46	84468.3
-1857.22	88658.5
-1856.99	92753.7
-1856.76	78843.2
-1856.52	15941.6
-1856.29	-83947.3
-1856.05	-154278
-1855.82	-134792
-1855.59	-42211
-1855.35	34884.9
-1855.12	23148.2
-1854.88	-56345.1
-1854.65	-106929
-1854.41	-59724.4
-1854.18	47610.9
-1853.95	104799
-1853.71	43819.4
-1853.48	-86074.3
-1853.24	-163941
-1853.01	-116716
-1852.78	11248.9
