-4793.71	-230460
-4793.63	-336800
-4793.56	-630432
-4793.49	-777432
-4793.42	-528280
-4793.34	-287036
-4793.27	-511728
-4793.2	-928892
-4793.12	-928636
-4793.05	-506988
-4792.98	-246140
-4792.9	-456548
-4792.83	-825540
-4792.76	-914544
-4792.68	-649308
-4792.61	-297436
-4792.54	-181212
-4792.46	-385216
-4792.39	-633476
-4792.32	-587928
-4792.25	-332508
-4792.17	-284836
-4792.1	-521240
-4792.03	-593760
-4791.95	-264800
-4791.88	8172
-4791.81	-271524
-4791.73	-840332
-4791.66	-1.0204e+06
-4791.59	-656844
-4791.51	-230156
-4791.44	-141596
-4791.37	-316440
-4791.29	-480184
-4791.22	-480316
-4791.15	-340652
-4791.08	-233064
-4791	-337048
-4790.93	-571544
-4790.86	-643084
-4790.78	-520364
-4790.71	-558656
-4790.64	-896704
-4790.56	-1.10061e+06
-4790.49	-810388
-4790.42	-393064
-4790.34	-421108
-4790.27	-766932
-4790.2	-838100
-4790.12	-560128
-4790.05	-445704
-4789.98	-691640
-4789.91	-879712
-4789.83	-717788
-4789.76	-481464
-4789.69	-481936
-4789.61	-595232
-4789.54	-601544
-4789.47	-571524
-4789.39	-608620
-4789.32	-565984
-4789.25	-357076
-4789.17	-256024
-4789.1	-515672
-4789.03	-884092
-4788.95	-884176
-4788.88	-485336
-4788.81	-148240
-4788.73	-203416
-4788.66	-477968
-4788.59	-598436
-4788.52	-435256
-4788.44	-153320
-4788.37	6092
-4788.3	-114600
-4788.22	-506032
-4788.15	-933648
-4788.08	-1.06924e+06
-4788	-842316
-4787.93	-582604
-4787.86	-616868
-4787.78	-792200
-4787.71	-690648
-4787.64	-316424
-4787.56	-159900
-4787.49	-409860
-4787.42	-567032
-4787.35	-241304
-4787.27	81984
-4787.2	-290656
-4787.13	-1.07021e+06
-4787.05	-1.26179e+06
-4786.98	-637876
-4786.91	-87688
-4786.83	-246720
-4786.76	-599492
-4786.69	-437924
-4786.61	-8260
-4786.54	-14332
-4786.47	-468504
-4786.39	-793112
-4786.32	-778652
-4786.25	-715644
-4786.18	-728056
-4786.1	-649428
-4786.03	-499992
